model,accuracy,precision,recall,f1
Stacking Ensemble,0.961092257911767,0.954655172413793,0.960117912259407,0.9573787498919339
Logistic Regression,0.9578565227685265,0.9491845493562232,0.9587307092075602,0.9539337474120083
Random Forest,0.9457817062583853,0.9443666899930021,0.9360152592335703,0.9401724288078028
Multinomial Naive Bayes,0.862599636966301,0.8349417637271215,0.8701231142708514,0.8521694828903795
